Customer Feedback Text,Time of the Given Feedback,Age of the Customer,Platform Used,Customer Gender
"Fast shipping, product as described.",2024-09-23 16:59:38.259435,59,Website,Female
"Amazing experience, will buy again!",2024-10-04 16:59:38.259437,68,Website,Male
Excellent quality and quick delivery!,2024-10-06 16:59:38.259438,55,Website,Male
"The service was slow, not happy.",2024-09-21 16:59:38.259441,38,Website,Male
"Great product, very satisfied!",2024-09-26 16:59:38.259443,20,Website,Female
Not worth the money.,2024-09-14 16:59:38.259445,50,Mobile App,Other
"The service was slow, not happy.",2024-09-22 16:59:38.259446,67,Social Media,Other
Customer service was helpful.,2024-10-10 16:59:38.259448,56,Mobile App,Male
"The service was slow, not happy.",2024-10-09 16:59:38.259450,32,Email,Male
"The service was slow, not happy.",2024-09-19 16:59:38.259451,28,Mobile App,Other
"Fast shipping, product as described.",2024-09-13 16:59:38.259453,55,Social Media,Female
"Poor packaging, item arrived damaged.",2024-09-19 16:59:38.259454,36,Email,Male
Customer service was helpful.,2024-10-10 16:59:38.259456,36,In-Store,Other
"Amazing experience, will buy again!",2024-09-29 16:59:38.259458,23,In-Store,Female
Customer service was helpful.,2024-09-13 16:59:38.259459,54,In-Store,Male
"Fast shipping, product as described.",2024-10-08 16:59:38.259461,65,In-Store,Female
Excellent quality and quick delivery!,2024-09-28 16:59:38.259463,19,Email,Male
"Fast shipping, product as described.",2024-09-20 16:59:38.259466,29,Mobile App,Male
Excellent quality and quick delivery!,2024-09-16 16:59:38.259469,36,Email,Other
Customer service was helpful.,2024-09-29 16:59:38.259472,30,Mobile App,Female
"Poor packaging, item arrived damaged.",2024-10-08 16:59:38.259475,41,Email,Other
"The service was slow, not happy.",2024-10-09 16:59:38.259478,55,Email,Female
"Great product, very satisfied!",2024-09-13 16:59:38.259481,57,In-Store,Other
Not worth the money.,2024-09-28 16:59:38.259491,64,Mobile App,Male
"Amazing experience, will buy again!",2024-09-14 16:59:38.259495,63,In-Store,Male
Not worth the money.,2024-09-27 16:59:38.259496,60,Mobile App,Other
"The service was slow, not happy.",2024-10-02 16:59:38.259498,45,Website,Other
"Terrible support, very disappointed.",2024-10-01 16:59:38.259500,50,Website,Male
"The service was slow, not happy.",2024-10-10 16:59:38.259501,47,Mobile App,Other
"Fast shipping, product as described.",2024-10-12 16:59:38.259503,67,Website,Male
Not worth the money.,2024-09-16 16:59:38.259504,23,Social Media,Male
"Poor packaging, item arrived damaged.",2024-10-06 16:59:38.259506,39,In-Store,Other
"The service was slow, not happy.",2024-09-27 16:59:38.259508,37,Social Media,Female
"Fast shipping, product as described.",2024-09-18 16:59:38.259509,29,Email,Female
"The service was slow, not happy.",2024-09-23 16:59:38.259511,39,Social Media,Female
"Great product, very satisfied!",2024-09-16 16:59:38.259512,63,Website,Female
"Terrible support, very disappointed.",2024-09-21 16:59:38.259514,39,In-Store,Other
Customer service was helpful.,2024-09-16 16:59:38.259516,39,Email,Other
"Poor packaging, item arrived damaged.",2024-10-04 16:59:38.259517,70,Mobile App,Female
"Great product, very satisfied!",2024-10-09 16:59:38.259519,51,Email,Male
"Poor packaging, item arrived damaged.",2024-09-30 16:59:38.259521,46,In-Store,Other
Not worth the money.,2024-10-01 16:59:38.259522,43,Email,Male
Love the new features!,2024-10-04 16:59:38.259524,31,Mobile App,Other
"Amazing experience, will buy again!",2024-09-26 16:59:38.259526,67,Email,Female
"Amazing experience, will buy again!",2024-10-05 16:59:38.259527,22,Email,Other
Excellent quality and quick delivery!,2024-09-15 16:59:38.259529,70,Social Media,Female
"Fast shipping, product as described.",2024-10-04 16:59:38.259530,55,Email,Male
"Poor packaging, item arrived damaged.",2024-10-01 16:59:38.259532,61,Website,Female
"Great product, very satisfied!",2024-09-14 16:59:38.259534,69,In-Store,Female
"Terrible support, very disappointed.",2024-09-19 16:59:38.259535,44,In-Store,Male
"Great product, very satisfied!",2024-10-04 16:59:38.259537,30,Email,Other
"Terrible support, very disappointed.",2024-09-30 16:59:38.259538,29,Email,Other
"The service was slow, not happy.",2024-09-21 16:59:38.259540,61,Mobile App,Male
Customer service was helpful.,2024-09-16 16:59:38.259542,42,Website,Other
Excellent quality and quick delivery!,2024-09-23 16:59:38.259543,53,Social Media,Female
"Poor packaging, item arrived damaged.",2024-09-25 16:59:38.259545,49,Mobile App,Male
"Terrible support, very disappointed.",2024-10-08 16:59:38.259547,34,Mobile App,Male
"The service was slow, not happy.",2024-09-15 16:59:38.259550,41,Mobile App,Female
"The service was slow, not happy.",2024-09-15 16:59:38.259553,70,In-Store,Male
"Terrible support, very disappointed.",2024-09-24 16:59:38.259557,27,Email,Male
"Great product, very satisfied!",2024-09-26 16:59:38.259560,38,In-Store,Male
"The service was slow, not happy.",2024-09-21 16:59:38.259563,33,Mobile App,Female
"Amazing experience, will buy again!",2024-09-22 16:59:38.259566,42,Mobile App,Other
"Great product, very satisfied!",2024-09-29 16:59:38.259574,33,Email,Other
"Amazing experience, will buy again!",2024-09-28 16:59:38.259577,65,Social Media,Female
Excellent quality and quick delivery!,2024-09-19 16:59:38.259580,38,Website,Male
"Amazing experience, will buy again!",2024-09-28 16:59:38.259583,46,In-Store,Male
"Terrible support, very disappointed.",2024-09-14 16:59:38.259586,39,In-Store,Male
"The service was slow, not happy.",2024-09-30 16:59:38.259589,44,Website,Other
"Poor packaging, item arrived damaged.",2024-09-24 16:59:38.259592,31,In-Store,Female
"Great product, very satisfied!",2024-09-26 16:59:38.259595,58,Mobile App,Other
Not worth the money.,2024-09-19 16:59:38.259598,57,Social Media,Female
"Fast shipping, product as described.",2024-09-15 16:59:38.259601,31,Website,Female
Not worth the money.,2024-09-14 16:59:38.259613,65,Social Media,Male
"Terrible support, very disappointed.",2024-09-14 16:59:38.259614,49,Mobile App,Other
Not worth the money.,2024-09-26 16:59:38.259625,46,Email,Male
"Fast shipping, product as described.",2024-10-04 16:59:38.259626,67,In-Store,Other
"Fast shipping, product as described.",2024-09-20 16:59:38.259628,63,Mobile App,Other
Not worth the money.,2024-10-01 16:59:38.259630,33,Email,Other
"Great product, very satisfied!",2024-09-13 16:59:38.259631,59,Website,Male
Customer service was helpful.,2024-10-11 16:59:38.259633,50,Social Media,Other
Customer service was helpful.,2024-09-24 16:59:38.259635,20,Website,Male
Love the new features!,2024-09-26 16:59:38.259638,39,In-Store,Male
Not worth the money.,2024-10-09 16:59:38.259640,43,In-Store,Male
"Amazing experience, will buy again!",2024-09-18 16:59:38.259643,23,Email,Female
Not worth the money.,2024-09-19 16:59:38.259646,41,Mobile App,Female
Customer service was helpful.,2024-10-06 16:59:38.259649,68,Email,Female
"Terrible support, very disappointed.",2024-10-11 16:59:38.259653,24,Social Media,Other
Not worth the money.,2024-09-14 16:59:38.259655,67,In-Store,Female
"Great product, very satisfied!",2024-09-18 16:59:38.259660,63,Email,Other
"Terrible support, very disappointed.",2024-09-21 16:59:38.259662,32,Website,Other
"Fast shipping, product as described.",2024-10-06 16:59:38.259664,32,Social Media,Other
"Fast shipping, product as described.",2024-09-29 16:59:38.259666,69,Email,Male
"Fast shipping, product as described.",2024-10-05 16:59:38.259667,30,In-Store,Female
"Poor packaging, item arrived damaged.",2024-10-03 16:59:38.259669,57,Social Media,Other
"Terrible support, very disappointed.",2024-09-25 16:59:38.259670,46,Mobile App,Male
"Great product, very satisfied!",2024-09-19 16:59:38.259672,50,In-Store,Male
"The service was slow, not happy.",2024-10-03 16:59:38.259674,58,Email,Female
Excellent quality and quick delivery!,2024-09-18 16:59:38.259675,55,Email,Other
"Great product, very satisfied!",2024-09-18 16:59:38.259677,59,In-Store,Female
Not worth the money.,2024-09-14 16:59:38.259679,23,Email,Male
Love the new features!,2024-10-03 16:59:38.259680,49,Mobile App,Female
"The service was slow, not happy.",2024-10-11 16:59:38.259682,37,Email,Female
Love the new features!,2024-09-26 16:59:38.259684,45,In-Store,Male
"Terrible support, very disappointed.",2024-10-10 16:59:38.259687,57,Social Media,Female
Excellent quality and quick delivery!,2024-10-10 16:59:38.259689,38,In-Store,Female
"Amazing experience, will buy again!",2024-09-20 16:59:38.259692,45,Social Media,Other
"Fast shipping, product as described.",2024-10-04 16:59:38.259695,42,Mobile App,Female
"Amazing experience, will buy again!",2024-10-12 16:59:38.259698,61,Website,Other
Excellent quality and quick delivery!,2024-09-15 16:59:38.259701,66,Email,Male
"The service was slow, not happy.",2024-10-09 16:59:38.259704,59,Social Media,Other
Not worth the money.,2024-10-09 16:59:38.259706,58,Website,Female
"Fast shipping, product as described.",2024-09-25 16:59:38.259709,58,Social Media,Male
"Poor packaging, item arrived damaged.",2024-09-29 16:59:38.259712,24,Email,Male
"Fast shipping, product as described.",2024-09-13 16:59:38.259716,18,Website,Male
"Fast shipping, product as described.",2024-09-23 16:59:38.259720,34,Mobile App,Female
Customer service was helpful.,2024-09-19 16:59:38.259721,24,Website,Female
Excellent quality and quick delivery!,2024-09-21 16:59:38.259723,69,Email,Female
"Great product, very satisfied!",2024-09-23 16:59:38.259724,27,Website,Other
"Great product, very satisfied!",2024-10-04 16:59:38.259726,32,Website,Female
"Amazing experience, will buy again!",2024-10-08 16:59:38.259728,53,In-Store,Female
"Terrible support, very disappointed.",2024-09-24 16:59:38.259729,65,Mobile App,Other
"Amazing experience, will buy again!",2024-10-10 16:59:38.259731,35,In-Store,Female
"Great product, very satisfied!",2024-10-12 16:59:38.259733,30,Email,Male
"Great product, very satisfied!",2024-09-17 16:59:38.259734,23,Website,Male
"Poor packaging, item arrived damaged.",2024-09-24 16:59:38.259736,27,Mobile App,Male
"Poor packaging, item arrived damaged.",2024-10-02 16:59:38.259737,26,Social Media,Female
Love the new features!,2024-09-23 16:59:38.259739,27,In-Store,Other
Customer service was helpful.,2024-09-24 16:59:38.259740,61,Mobile App,Male
"Poor packaging, item arrived damaged.",2024-09-25 16:59:38.259747,70,Mobile App,Male
Not worth the money.,2024-09-22 16:59:38.259748,51,Website,Female
"The service was slow, not happy.",2024-09-26 16:59:38.259750,31,Website,Female
Love the new features!,2024-09-30 16:59:38.259752,38,Mobile App,Female
"Great product, very satisfied!",2024-09-23 16:59:38.259753,56,Email,Female
Not worth the money.,2024-09-21 16:59:38.259755,42,Email,Female
"Amazing experience, will buy again!",2024-09-22 16:59:38.259757,62,Email,Other
"Fast shipping, product as described.",2024-10-07 16:59:38.259758,56,Mobile App,Female
"Great product, very satisfied!",2024-09-15 16:59:38.259760,51,Social Media,Other
Love the new features!,2024-10-07 16:59:38.259761,28,Email,Other
"Great product, very satisfied!",2024-10-12 16:59:38.259763,61,Mobile App,Female
"Amazing experience, will buy again!",2024-10-05 16:59:38.259765,70,Mobile App,Male
"Great product, very satisfied!",2024-09-27 16:59:38.259766,63,Email,Female
"Poor packaging, item arrived damaged.",2024-10-10 16:59:38.259768,38,Social Media,Female
Customer service was helpful.,2024-10-02 16:59:38.259769,32,Social Media,Female
"The service was slow, not happy.",2024-10-07 16:59:38.259771,51,Website,Male
"The service was slow, not happy.",2024-10-08 16:59:38.259773,62,In-Store,Other
Excellent quality and quick delivery!,2024-09-14 16:59:38.259774,68,Mobile App,Other
"Terrible support, very disappointed.",2024-10-02 16:59:38.259776,60,In-Store,Female
"Fast shipping, product as described.",2024-09-18 16:59:38.259777,45,Mobile App,Female
"Poor packaging, item arrived damaged.",2024-10-05 16:59:38.259779,29,Email,Female
"Fast shipping, product as described.",2024-09-29 16:59:38.259781,62,Email,Male
"Fast shipping, product as described.",2024-10-11 16:59:38.259782,27,Social Media,Male
"Amazing experience, will buy again!",2024-10-11 16:59:38.259784,21,Mobile App,Other
"Poor packaging, item arrived damaged.",2024-09-24 16:59:38.259786,47,In-Store,Male
"Great product, very satisfied!",2024-10-07 16:59:38.259787,34,In-Store,Female
"Poor packaging, item arrived damaged.",2024-09-28 16:59:38.259789,30,Mobile App,Male
"Fast shipping, product as described.",2024-10-06 16:59:38.259790,49,Mobile App,Male
"Amazing experience, will buy again!",2024-09-17 16:59:38.259792,54,Website,Other
"The service was slow, not happy.",2024-09-20 16:59:38.259794,47,Social Media,Other
"The service was slow, not happy.",2024-10-06 16:59:38.259797,56,Email,Female
Love the new features!,2024-09-17 16:59:38.259799,45,Website,Male
Not worth the money.,2024-09-28 16:59:38.259800,62,Website,Female
"The service was slow, not happy.",2024-09-26 16:59:38.259802,33,Website,Female
"Amazing experience, will buy again!",2024-10-11 16:59:38.259803,57,Mobile App,Other
"Fast shipping, product as described.",2024-09-23 16:59:38.259805,58,Social Media,Other
Excellent quality and quick delivery!,2024-09-20 16:59:38.259807,49,Mobile App,Other
Love the new features!,2024-09-16 16:59:38.259808,63,Email,Other
Excellent quality and quick delivery!,2024-09-29 16:59:38.259810,47,Mobile App,Other
Excellent quality and quick delivery!,2024-10-03 16:59:38.259812,61,Website,Female
Not worth the money.,2024-09-28 16:59:38.259813,20,Mobile App,Other
Love the new features!,2024-10-03 16:59:38.259815,63,Social Media,Male
"Great product, very satisfied!",2024-09-14 16:59:38.259816,47,Website,Male
"Amazing experience, will buy again!",2024-09-27 16:59:38.259818,25,Mobile App,Female
"Poor packaging, item arrived damaged.",2024-09-26 16:59:38.259820,32,Social Media,Other
"The service was slow, not happy.",2024-10-01 16:59:38.259821,31,Mobile App,Female
"The service was slow, not happy.",2024-10-01 16:59:38.259823,37,Social Media,Other
Not worth the money.,2024-10-11 16:59:38.259824,33,In-Store,Female
"Amazing experience, will buy again!",2024-09-28 16:59:38.259826,31,Website,Female
"The service was slow, not happy.",2024-10-09 16:59:38.259828,45,Social Media,Female
"Terrible support, very disappointed.",2024-09-30 16:59:38.259829,25,Social Media,Other
"Poor packaging, item arrived damaged.",2024-09-15 16:59:38.259831,69,Email,Female
"Terrible support, very disappointed.",2024-10-09 16:59:38.259833,32,In-Store,Male
Love the new features!,2024-10-01 16:59:38.259834,25,Mobile App,Female
Customer service was helpful.,2024-09-27 16:59:38.259836,66,In-Store,Other
"Fast shipping, product as described.",2024-09-24 16:59:38.259837,52,Email,Other
Not worth the money.,2024-10-08 16:59:38.259839,30,Mobile App,Female
Not worth the money.,2024-10-03 16:59:38.259841,26,In-Store,Other
"Great product, very satisfied!",2024-10-07 16:59:38.259842,63,In-Store,Male
"Terrible support, very disappointed.",2024-10-05 16:59:38.259844,22,Email,Other
"Terrible support, very disappointed.",2024-10-12 16:59:38.259845,23,Website,Male
"The service was slow, not happy.",2024-09-29 16:59:38.259847,51,In-Store,Other
"Amazing experience, will buy again!",2024-10-04 16:59:38.259849,22,Email,Other
Excellent quality and quick delivery!,2024-10-02 16:59:38.259850,63,Mobile App,Other
"Amazing experience, will buy again!",2024-10-07 16:59:38.259852,68,Social Media,Other
Love the new features!,2024-09-25 16:59:38.259854,23,In-Store,Other
"Poor packaging, item arrived damaged.",2024-09-21 16:59:38.259856,32,Website,Male
"Poor packaging, item arrived damaged.",2024-09-20 16:59:38.259858,31,Email,Female
"Fast shipping, product as described.",2024-10-05 16:59:38.259859,53,Mobile App,Other
Love the new features!,2024-10-01 16:59:38.259861,42,Social Media,Other
"The service was slow, not happy.",2024-09-22 16:59:38.259862,39,Website,Other
Love the new features!,2024-09-15 16:59:38.259864,59,Email,Male
"Poor packaging, item arrived damaged.",2024-09-14 16:59:38.259866,25,Website,Female
Love the new features!,2024-09-14 16:59:38.259867,27,Website,Female
Excellent quality and quick delivery!,2024-10-02 16:59:38.259870,37,Website,Other
Excellent quality and quick delivery!,2024-10-12 16:59:38.259871,38,Website,Male
"Terrible support, very disappointed.",2024-09-30 16:59:38.259873,50,Mobile App,Male
Excellent quality and quick delivery!,2024-09-24 16:59:38.259875,59,Social Media,Other
Love the new features!,2024-09-29 16:59:38.259876,27,In-Store,Female
Love the new features!,2024-09-13 16:59:38.259878,66,In-Store,Male
Love the new features!,2024-09-22 16:59:38.259880,64,Mobile App,Female
Love the new features!,2024-09-29 16:59:38.259881,20,Website,Male
"Fast shipping, product as described.",2024-09-27 16:59:38.259883,24,Website,Female
Excellent quality and quick delivery!,2024-09-24 16:59:38.259885,65,Website,Female
"Amazing experience, will buy again!",2024-09-18 16:59:38.259886,37,In-Store,Female
Customer service was helpful.,2024-09-29 16:59:38.259891,22,Email,Female
"Poor packaging, item arrived damaged.",2024-09-15 16:59:38.259893,46,Social Media,Female
"Terrible support, very disappointed.",2024-10-12 16:59:38.259894,53,Website,Male
Excellent quality and quick delivery!,2024-09-19 16:59:38.259897,61,Email,Other
"The service was slow, not happy.",2024-10-11 16:59:38.259900,45,Social Media,Female
"Amazing experience, will buy again!",2024-10-09 16:59:38.259902,41,Email,Female
Customer service was helpful.,2024-09-19 16:59:38.259905,46,In-Store,Other
"The service was slow, not happy.",2024-10-04 16:59:38.259908,68,In-Store,Male
Not worth the money.,2024-09-18 16:59:38.259910,49,Mobile App,Other
"The service was slow, not happy.",2024-09-19 16:59:38.259913,61,Website,Male
Excellent quality and quick delivery!,2024-10-06 16:59:38.259916,29,Website,Male
Love the new features!,2024-10-04 16:59:38.259919,32,Website,Female
"Terrible support, very disappointed.",2024-10-09 16:59:38.259921,45,In-Store,Other
"Poor packaging, item arrived damaged.",2024-09-25 16:59:38.259924,26,Mobile App,Male
"Poor packaging, item arrived damaged.",2024-09-15 16:59:38.259927,38,Website,Female
"Great product, very satisfied!",2024-10-12 16:59:38.259930,52,In-Store,Other
Not worth the money.,2024-09-19 16:59:38.259933,43,Website,Male
Excellent quality and quick delivery!,2024-10-12 16:59:38.259936,30,Mobile App,Male
Customer service was helpful.,2024-09-25 16:59:38.259943,58,Website,Female
"Poor packaging, item arrived damaged.",2024-09-19 16:59:38.259946,63,Email,Male
"Terrible support, very disappointed.",2024-09-24 16:59:38.259948,36,In-Store,Male
Customer service was helpful.,2024-09-16 16:59:38.259949,47,In-Store,Female
"Terrible support, very disappointed.",2024-09-28 16:59:38.259951,62,In-Store,Other
"The service was slow, not happy.",2024-09-16 16:59:38.259953,59,Mobile App,Female
"The service was slow, not happy.",2024-09-27 16:59:38.259955,52,Social Media,Male
Customer service was helpful.,2024-09-15 16:59:38.259958,35,Website,Other
Love the new features!,2024-10-01 16:59:38.259961,65,Website,Male
"Terrible support, very disappointed.",2024-09-13 16:59:38.259963,66,Social Media,Other
"Great product, very satisfied!",2024-10-07 16:59:38.259966,32,Mobile App,Other
Customer service was helpful.,2024-09-16 16:59:38.259969,22,Mobile App,Other
"The service was slow, not happy.",2024-09-15 16:59:38.259972,52,Social Media,Other
Excellent quality and quick delivery!,2024-10-01 16:59:38.259974,25,Mobile App,Male
"Terrible support, very disappointed.",2024-09-30 16:59:38.259977,33,Website,Other
"Terrible support, very disappointed.",2024-09-22 16:59:38.259980,55,In-Store,Other
"Terrible support, very disappointed.",2024-09-30 16:59:38.259983,57,In-Store,Male
"Poor packaging, item arrived damaged.",2024-10-04 16:59:38.259995,50,Email,Female
"Amazing experience, will buy again!",2024-10-11 16:59:38.259997,24,Social Media,Female
"Great product, very satisfied!",2024-09-14 16:59:38.259999,42,Email,Male
"Amazing experience, will buy again!",2024-09-14 16:59:38.260000,49,Mobile App,Other
Excellent quality and quick delivery!,2024-10-07 16:59:38.260002,47,In-Store,Female
Love the new features!,2024-10-03 16:59:38.260003,23,Mobile App,Other
Love the new features!,2024-09-17 16:59:38.260005,54,Email,Male
Excellent quality and quick delivery!,2024-09-23 16:59:38.260007,70,Social Media,Female
"Amazing experience, will buy again!",2024-09-28 16:59:38.260008,58,Email,Other
"Poor packaging, item arrived damaged.",2024-09-29 16:59:38.260010,36,Mobile App,Female
"Great product, very satisfied!",2024-10-01 16:59:38.260012,34,Mobile App,Female
Customer service was helpful.,2024-09-26 16:59:38.260013,62,Social Media,Other
Not worth the money.,2024-10-12 16:59:38.260015,58,Social Media,Male
"Terrible support, very disappointed.",2024-09-16 16:59:38.260017,70,Website,Male
"Fast shipping, product as described.",2024-09-28 16:59:38.260018,53,Email,Female
"Poor packaging, item arrived damaged.",2024-09-13 16:59:38.260020,38,Website,Male
"The service was slow, not happy.",2024-09-28 16:59:38.260022,68,Email,Male
Love the new features!,2024-09-22 16:59:38.260025,41,Mobile App,Other
Excellent quality and quick delivery!,2024-09-26 16:59:38.260028,56,Mobile App,Other
"Amazing experience, will buy again!",2024-10-04 16:59:38.260031,43,Email,Other
Customer service was helpful.,2024-09-20 16:59:38.260034,55,Mobile App,Female
Love the new features!,2024-09-22 16:59:38.260037,31,Social Media,Male
"Amazing experience, will buy again!",2024-10-01 16:59:38.260048,47,Email,Male
"The service was slow, not happy.",2024-09-29 16:59:38.260051,48,In-Store,Male
"Fast shipping, product as described.",2024-09-15 16:59:38.260053,58,Social Media,Female
"Great product, very satisfied!",2024-09-27 16:59:38.260055,55,Social Media,Other
Not worth the money.,2024-09-25 16:59:38.260056,34,Mobile App,Other
Not worth the money.,2024-09-18 16:59:38.260058,18,Social Media,Female
Excellent quality and quick delivery!,2024-10-01 16:59:38.260060,35,In-Store,Male
"Amazing experience, will buy again!",2024-10-01 16:59:38.260061,59,Website,Other
"Terrible support, very disappointed.",2024-09-19 16:59:38.260064,51,Website,Female
Not worth the money.,2024-09-19 16:59:38.260065,53,Email,Other
"Terrible support, very disappointed.",2024-09-21 16:59:38.260067,50,Email,Male
"Fast shipping, product as described.",2024-09-22 16:59:38.260069,20,Mobile App,Female
"Great product, very satisfied!",2024-09-27 16:59:38.260070,60,Social Media,Female
"Great product, very satisfied!",2024-09-21 16:59:38.260072,62,Website,Other
"The service was slow, not happy.",2024-09-23 16:59:38.260074,29,Website,Other
Customer service was helpful.,2024-10-10 16:59:38.260075,41,Mobile App,Female
Love the new features!,2024-10-11 16:59:38.260077,22,Website,Other
"Terrible support, very disappointed.",2024-10-07 16:59:38.260078,19,Website,Other
Customer service was helpful.,2024-09-15 16:59:38.260080,69,Email,Male
"The service was slow, not happy.",2024-09-22 16:59:38.260081,67,In-Store,Other
"Terrible support, very disappointed.",2024-09-15 16:59:38.260083,63,Mobile App,Female
Customer service was helpful.,2024-09-23 16:59:38.260085,32,Social Media,Male
Not worth the money.,2024-09-21 16:59:38.260086,41,Email,Female
"Great product, very satisfied!",2024-09-27 16:59:38.260088,69,Website,Other
Customer service was helpful.,2024-09-24 16:59:38.260090,50,Social Media,Female
"The service was slow, not happy.",2024-09-19 16:59:38.260091,22,Mobile App,Female
Excellent quality and quick delivery!,2024-10-12 16:59:38.260093,38,Social Media,Male
"Terrible support, very disappointed.",2024-10-03 16:59:38.260094,34,Mobile App,Female
"Amazing experience, will buy again!",2024-09-15 16:59:38.260096,35,Social Media,Other
"Fast shipping, product as described.",2024-09-28 16:59:38.260098,35,Social Media,Other
"Terrible support, very disappointed.",2024-10-04 16:59:38.260100,58,Email,Other
"The service was slow, not happy.",2024-10-08 16:59:38.260101,55,Social Media,Male
"Poor packaging, item arrived damaged.",2024-10-05 16:59:38.260103,43,Social Media,Female
Not worth the money.,2024-09-21 16:59:38.260105,19,Email,Female
"Poor packaging, item arrived damaged.",2024-09-30 16:59:38.260106,37,Email,Male
"Fast shipping, product as described.",2024-09-23 16:59:38.260108,66,Email,Other
"The service was slow, not happy.",2024-10-11 16:59:38.260110,23,Social Media,Other
"Poor packaging, item arrived damaged.",2024-09-15 16:59:38.260111,44,Email,Male
"Amazing experience, will buy again!",2024-10-06 16:59:38.260113,65,Mobile App,Female
"Amazing experience, will buy again!",2024-09-28 16:59:38.260114,60,Mobile App,Other
"Poor packaging, item arrived damaged.",2024-10-02 16:59:38.260116,44,Website,Male
Customer service was helpful.,2024-09-14 16:59:38.260118,58,In-Store,Female
"Great product, very satisfied!",2024-10-01 16:59:38.260119,53,Email,Female
"The service was slow, not happy.",2024-09-24 16:59:38.260121,31,Social Media,Other
Love the new features!,2024-10-04 16:59:38.260123,61,Email,Male
Excellent quality and quick delivery!,2024-09-22 16:59:38.260124,21,Social Media,Female
Love the new features!,2024-09-21 16:59:38.260126,46,Mobile App,Male
"Amazing experience, will buy again!",2024-09-22 16:59:38.260128,41,Email,Male
Not worth the money.,2024-10-10 16:59:38.260129,45,Email,Male
Excellent quality and quick delivery!,2024-10-11 16:59:38.260131,62,Mobile App,Female
Customer service was helpful.,2024-10-02 16:59:38.260133,47,Email,Female
"Terrible support, very disappointed.",2024-09-30 16:59:38.260134,68,Website,Other
"Great product, very satisfied!",2024-09-26 16:59:38.260136,40,Website,Male
"Fast shipping, product as described.",2024-09-22 16:59:38.260137,42,Social Media,Other
"Fast shipping, product as described.",2024-10-10 16:59:38.260139,38,Mobile App,Other
"Great product, very satisfied!",2024-09-27 16:59:38.260141,30,Mobile App,Male
Customer service was helpful.,2024-09-29 16:59:38.260142,21,Email,Male
Love the new features!,2024-09-24 16:59:38.260144,70,Social Media,Male
Love the new features!,2024-09-29 16:59:38.260145,67,Website,Male
"Great product, very satisfied!",2024-09-13 16:59:38.260147,31,In-Store,Other
"The service was slow, not happy.",2024-10-01 16:59:38.260149,31,Social Media,Female
"Great product, very satisfied!",2024-10-06 16:59:38.260150,40,Website,Female
"Fast shipping, product as described.",2024-10-08 16:59:38.260152,45,Social Media,Male
Customer service was helpful.,2024-09-23 16:59:38.260154,49,In-Store,Female
"The service was slow, not happy.",2024-09-24 16:59:38.260155,28,Email,Other
"Fast shipping, product as described.",2024-10-03 16:59:38.260157,52,Email,Female
"The service was slow, not happy.",2024-09-17 16:59:38.260158,33,In-Store,Other
"Amazing experience, will buy again!",2024-09-18 16:59:38.260160,42,Website,Other
Not worth the money.,2024-10-08 16:59:38.260162,50,Social Media,Female
"Great product, very satisfied!",2024-10-04 16:59:38.260163,52,Mobile App,Female
"Great product, very satisfied!",2024-09-18 16:59:38.260165,24,Website,Female
Customer service was helpful.,2024-10-09 16:59:38.260167,69,In-Store,Female
"Amazing experience, will buy again!",2024-10-04 16:59:38.260168,20,Website,Male
Excellent quality and quick delivery!,2024-10-01 16:59:38.260170,36,Website,Male
"Poor packaging, item arrived damaged.",2024-09-27 16:59:38.260171,51,Website,Male
"Amazing experience, will buy again!",2024-10-06 16:59:38.260173,57,Website,Female
Love the new features!,2024-09-18 16:59:38.260175,24,In-Store,Female
"Amazing experience, will buy again!",2024-09-22 16:59:38.260176,67,Website,Other
"Terrible support, very disappointed.",2024-10-06 16:59:38.260178,63,Mobile App,Female
Not worth the money.,2024-09-18 16:59:38.260180,22,Mobile App,Other
"Fast shipping, product as described.",2024-09-29 16:59:38.260181,62,Social Media,Female
"The service was slow, not happy.",2024-09-20 16:59:38.260183,48,Social Media,Female
Excellent quality and quick delivery!,2024-10-05 16:59:38.260184,30,Email,Female
"Amazing experience, will buy again!",2024-09-17 16:59:38.260186,69,In-Store,Other
"Fast shipping, product as described.",2024-09-26 16:59:38.260188,38,In-Store,Other
Love the new features!,2024-10-11 16:59:38.260189,35,Website,Female
"Poor packaging, item arrived damaged.",2024-09-13 16:59:38.260191,34,Mobile App,Other
Not worth the money.,2024-09-22 16:59:38.260192,45,Website,Female
"Amazing experience, will buy again!",2024-09-28 16:59:38.260194,67,Email,Female
"Poor packaging, item arrived damaged.",2024-09-14 16:59:38.260196,27,Social Media,Male
Love the new features!,2024-09-14 16:59:38.260197,56,Website,Female
"The service was slow, not happy.",2024-10-12 16:59:38.260199,20,Website,Other
"Terrible support, very disappointed.",2024-10-02 16:59:38.260200,66,Website,Male
Love the new features!,2024-10-01 16:59:38.260202,54,Website,Other
Customer service was helpful.,2024-10-08 16:59:38.260204,25,Social Media,Male
Excellent quality and quick delivery!,2024-09-19 16:59:38.260205,41,In-Store,Male
"The service was slow, not happy.",2024-10-03 16:59:38.260207,24,In-Store,Female
Excellent quality and quick delivery!,2024-10-12 16:59:38.260208,55,Social Media,Female
Love the new features!,2024-09-18 16:59:38.260210,22,Website,Male
"The service was slow, not happy.",2024-09-30 16:59:38.260212,70,In-Store,Male
